id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,UTS_19_malleable_2-16,malleable,apgas,-0.04799985885620117,0.0,61.0239999294281,61.024,16,0,0,False,False,8.388,
2,BC_19_malleable_8-16,malleable,apgas,0.05500006675720215,0.14700007438659668,231.7850000858307,231.638,16,0,0,False,False,12.084,
3,Pi_80000000000_malleable_1-4,malleable,apgas,0.14700007438659668,63.28400015830994,101.18300008773804,37.899,4,0,0,False,False,4.433,
4,Pi_80000000000_malleable_1-4,malleable,apgas,0.2220001220703125,63.30400013923645,98.81900000572205,35.515,4,0,0,False,False,4.476,
5,Pi_1200000000000_malleable_8-16,malleable,apgas,0.31400012969970703,63.312000036239624,320.970999956131,257.659,8,0,0,False,False,6.823,
6,BC_18_rigid_2,rigid,apgas,59.42700004577637,100.48099994659424,445.6489999294281,345.168,2,0,0,False,False,0,
7,UTS_18_malleable_1-4,malleable,apgas,75.5460000038147,100.49699997901917,197.6890001296997,97.192,2,0,0,False,False,4.308,
8,BC_17_malleable_1-4,malleable,apgas,109.67000007629395,109.72200012207031,145.51900005340576,35.797,4,0,0,False,False,6.364,
9,UTS_19_malleable_2-16,malleable,apgas,109.78400015830994,147.0920000076294,348.03400015830994,200.942,4,0,0,False,False,5.223,
10,NQueens_17_malleable_1-8,malleable,apgas,123.89499998092651,199.31100010871887,373.9190001487732,174.608,2,0,0,False,False,4.128,
11,BC_18_malleable_2-16,malleable,apgas,175.0220000743866,234.09599995613098,290.47699999809265,56.381,16,0,0,False,False,9.47,
12,Pi_600000000000_malleable_4-16,malleable,apgas,183.14100003242493,292.73800015449524,363.4260001182556,70.688,16,0,0,False,False,7.917,
13,NQueens_18_rigid_16,rigid,apgas,237.25,365.2999999523163,556.9170000553131,191.617,16,0,0,False,False,0,
14,BC_17_malleable_1-4,malleable,apgas,271.37000012397766,365.3199999332428,400.90199995040894,35.582,4,0,0,False,False,6.251,
15,NQueens_18_rigid_8,rigid,apgas,296.478000164032,365.3270001411438,730.1360001564026,364.809,8,0,0,False,False,0,
16,UTS_19_malleable_2-16,malleable,apgas,348.57299995422363,375.45500016212463,762.3220000267029,386.867,2,0,0,False,False,4.984,
17,BC_19_malleable_8-16,malleable,apgas,350.6800000667572,559.2460000514984,787.4509999752045,228.205,16,0,0,False,False,11.134,
18,BC_18_malleable_2-16,malleable,apgas,360.7890000343323,559.2610001564026,681.0099999904633,121.749,6,0,0,False,False,7.386,
19,Pi_80000000000_rigid_2,rigid,apgas,394.88700008392334,682.625,756.1879999637604,73.563,2,0,0,False,False,0,
20,BC_17_malleable_1-4,malleable,apgas,402.9930000305176,682.6410000324249,717.2580001354218,34.617,4,0,0,False,False,5.113,
21,NQueens_18_malleable_8-16,malleable,apgas,405.10199999809265,732.3250000476837,982.9960000514984,250.671,12,0,0,False,False,7.451,
22,NQueens_18_malleable_8-16,malleable,apgas,407.19200015068054,789.7339999675751,980.6510000228882,190.917,16,0,0,False,False,7.284,
23,Pi_80000000000_rigid_2,rigid,apgas,411.29900002479553,789.7490000724792,863.5529999732971,73.804,2,0,0,False,False,0,
24,UTS_18_malleable_1-4,malleable,apgas,426.42000007629395,789.7569999694824,890.2350001335144,100.478,2,0,0,False,False,4.192,
25,UTS_19_malleable_2-16,malleable,apgas,446.54900002479553,865.1210000514984,1257.0590000152588,391.938,2,0,0,False,False,5.133,
