id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,BC_18_rigid_4,rigid,apgas,-0.07599997520446777,0.0,175.35899996757507,175.359,4,0,0,False,False,0,
2,BC_18_rigid_2,rigid,apgas,0.01699995994567871,0.04999995231628418,339.46799993515015,339.418,2,0,0,False,False,0,
3,BC_18_rigid_2,rigid,apgas,0.11800003051757812,0.15700006484985352,340.99699997901917,340.84,2,0,0,False,False,0,
4,BC_17_rigid_4,rigid,apgas,0.22699999809265137,0.26999998092651367,37.473000049591064,37.203,4,0,0,False,False,0,
5,NQueens_17_malleable_1-8,malleable,apgas,0.3250000476837158,0.37800002098083496,53.0699999332428,52.692,8,0,0,False,False,6.114,
6,UTS_20_malleable_8-16,malleable,apgas,2.439000129699707,2.496000051498413,275.0220000743866,272.526,12,0,0,False,False,6.588,
7,Pi_1200000000000_malleable_8-16,malleable,apgas,24.561000108718872,54.70799994468689,229.83200001716614,175.124,12,0,0,False,False,7.438,
8,UTS_19_rigid_4,rigid,apgas,62.680999994277954,232.09400010108948,342.52999997138977,110.436,8,0,0,False,False,0,
9,BC_18_rigid_8,rigid,apgas,87.80299997329712,232.1119999885559,325.5160000324249,93.404,8,0,0,False,False,0,
10,NQueens_17_malleable_1-8,malleable,apgas,114.91300010681152,277.21200013160706,329.32400012016296,52.112,8,0,0,False,False,4.943,
11,UTS_20_malleable_8-16,malleable,apgas,128.02699995040894,327.13300013542175,599.295000076294,272.162,12,0,0,False,False,7.889,
12,Pi_600000000000_rigid_16,rigid,apgas,155.14199995994568,344.27800011634827,414.2330000400543,69.955,16,0,0,False,False,0,
13,NQueens_17_rigid_2,rigid,apgas,162.25800013542175,344.2920000553131,519.5090000629425,175.217,2,0,0,False,False,0,
14,Pi_600000000000_malleable_4-16,malleable,apgas,167.36700010299683,416.54900002479553,488.9210000038147,72.372,16,0,0,False,False,8.901,
15,BC_18_rigid_4,rigid,apgas,173.4800000190735,490.71600008010864,667.6849999427795,176.969,4,0,0,False,False,0,
16,BC_17_rigid_4,rigid,apgas,179.60199999809265,490.7300000190735,526.444000005722,35.714,4,0,0,False,False,0,
17,BC_18_malleable_2-16,malleable,apgas,182.7079999446869,490.7369999885559,569.8910000324249,79.154,10,0,0,False,False,8.621,
18,UTS_19_malleable_2-16,malleable,apgas,229.82999992370605,521.1040000915527,892.8800001144409,371.776,2,0,0,False,False,5.15,
19,Pi_600000000000_rigid_4,rigid,apgas,244.91400003433228,528.0490000247955,786.8959999084473,258.847,4,0,0,False,False,0,
20,BC_18_rigid_8,rigid,apgas,260.0260000228882,571.555999994278,664.739000082016,93.183,8,0,0,False,False,0,
21,UTS_18_rigid_4,rigid,apgas,296.1170001029968,601.5339999198914,658.2669999599457,56.733,4,0,0,False,False,0,
22,BC_18_malleable_2-16,malleable,apgas,332.2409999370575,601.5499999523163,680.5680000782013,79.018,10,0,0,False,False,8.484,
23,BC_18_rigid_2,rigid,apgas,393.3589999675751,659.8919999599457,1001.7910001277924,341.899,2,0,0,False,False,0,
24,Pi_80000000000_rigid_2,rigid,apgas,469.4670000076294,659.9119999408722,734.25,74.338,2,0,0,False,False,0,
25,UTS_18_malleable_1-4,malleable,apgas,471.5829999446869,666.430999994278,720.1530001163483,53.722,4,0,0,False,False,4.371,
