id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,Pi_80000000000_rigid_2,rigid,apgas,-0.09100008010864258,0.0,70.61199998855591,70.612,2,0,0,False,False,0,
2,Pi_600000000000_malleable_4-16,malleable,apgas,-0.0279998779296875,0.03699994087219238,72.14300012588501,72.106,16,0,0,False,False,8.343,
3,BC_17_malleable_1-4,malleable,apgas,0.04999995231628418,0.14800000190734863,35.17700004577637,35.029,4,0,0,False,False,5.382,
4,NQueens_18_rigid_8,rigid,apgas,0.15000009536743164,0.15400004386901855,365.0020000934601,364.848,8,0,0,False,False,0,
5,UTS_18_rigid_2,rigid,apgas,0.25099992752075195,0.25999999046325684,99.16100001335144,98.901,2,0,0,False,False,0,
6,BC_17_rigid_2,rigid,apgas,39.375,39.449000120162964,100.69000005722046,61.241,2,0,0,False,False,0,
7,UTS_19_rigid_2,rigid,apgas,71.50300002098083,71.52900004386902,483.4609999656677,411.932,2,0,0,False,False,0,
8,Pi_1200000000000_malleable_8-16,malleable,apgas,91.63800001144409,91.67799997329712,276.7980000972748,185.12,16,1,1,False,False,8.252,
9,Pi_600000000000_rigid_4,rigid,apgas,114.75800013542175,114.83400011062622,378.96200013160706,264.128,4,0,0,False,False,0,
10,UTS_18_rigid_2,rigid,apgas,137.8659999370575,137.89100003242493,242.29999995231628,104.409,2,0,0,False,False,0,
11,Pi_1200000000000_rigid_8,rigid,apgas,164.9779999256134,175.58200001716614,434.8600001335144,259.278,8,0,0,False,False,0,
12,Pi_600000000000_rigid_16,rigid,apgas,192.07999992370605,367.1890001296997,438.09100008010864,70.902,16,0,0,False,False,0,
13,BC_17_malleable_1-4,malleable,apgas,205.17799997329712,367.2060000896454,430.62599992752075,63.42,2,0,0,False,False,6.187,
14,Pi_600000000000_rigid_4,rigid,apgas,227.2739999294281,380.54100012779236,647.3199999332428,266.779,4,0,0,False,False,0,
15,BC_19_rigid_8,rigid,apgas,228.37000012397766,437.07100009918213,876.2550001144409,439.184,8,0,0,False,False,0,
16,NQueens_17_rigid_2,rigid,apgas,247.4779999256134,437.085000038147,609.4650001525879,172.38,2,0,0,False,False,0,
17,BC_17_rigid_4,rigid,apgas,249.58500003814697,440.3970000743866,475.9909999370575,35.594,4,0,0,False,False,0,
18,Pi_1200000000000_rigid_8,rigid,apgas,277.72500014305115,440.40899991989136,705.710000038147,265.301,8,0,0,False,False,0,
19,Pi_600000000000_malleable_4-16,malleable,apgas,299.8400001525879,440.4140000343323,641.2599999904633,200.846,4,1,1,False,False,4.521,
20,UTS_19_rigid_4,rigid,apgas,327.9690001010895,477.59500002861023,679.0499999523163,201.455,4,0,0,False,False,0,
21,UTS_19_rigid_4,rigid,apgas,339.0840001106262,620.8129999637604,829.6679999828339,208.855,4,0,0,False,False,0,
22,BC_18_rigid_2,rigid,apgas,356.2090001106262,642.8710000514984,979.893000125885,337.022,2,0,0,False,False,0,
23,UTS_18_rigid_4,rigid,apgas,403.30999994277954,648.8949999809265,704.0499999523163,55.155,4,0,0,False,False,0,
24,Pi_600000000000_rigid_8,rigid,apgas,442.42199993133545,705.6219999790192,838.4520001411438,132.83,8,0,0,False,False,0,
25,BC_18_rigid_2,rigid,apgas,482.5380001068115,705.635999917984,1045.8550000190735,340.219,2,0,0,False,False,0,
